"app_id","positive","negative","estimated_owners","owners_min","owners_max","average_playtime_forever","average_playtime_2weeks","median_playtime_forever","median_playtime_2weeks","peak_ccu"
"1416920","8382","1323","200000 - 500000","200000","500000","631","365","363","518","273"
"1195460","5991","3711","500000 - 1000000","500000","1000000","722","0","216","0","8"
"1272320","8217","1456","200000 - 500000","200000","500000","794","22","290","22","464"
"578330","8783","889","500000 - 1000000","500000","1000000","1354","106","235","106","115"
"2457220","7522","2135","500000 - 1000000","500000","1000000","1248","0","1041","0","157"
"1875830","8976","678","200000 - 500000","200000","500000","2027","615","1257","498","410"
"1372280","8484","1118","500000 - 1000000","500000","1000000","937","49","343","49","42"
"916840","8321","1273","500000 - 1000000","500000","1000000","831","44","131","44","26"
"2933080","5413","4144","200000 - 500000","200000","500000","532","81","175","108","160"
"2408820","7995","1538","500000 - 1000000","500000","1000000","1192","607","827","664","487"
"2144740","7676","1840","500000 - 1000000","500000","1000000","593","35","285","35","64"
"1249800","5949","3535","500000 - 1000000","500000","1000000","642","0","664","0","4"
"1043810","9301","166","200000 - 500000","200000","500000","721","20","444","20","159"
"1426450","7267","2196","200000 - 500000","200000","500000","1013","155","482","155","176"
"933820","7276","2180","500000 - 1000000","500000","1000000","1022","124","235","124","99"
"891040","8222","1216","500000 - 1000000","500000","1000000","0","0","0","0","262"
"3191030","9206","227","200000 - 500000","200000","500000","590","80","482","104","731"
"503940","7797","1619","500000 - 1000000","500000","1000000","1800","0","353","0","142"
"458710","9103","305","500000 - 1000000","500000","1000000","817","25","560","25","185"
"1214280","8261","1133","200000 - 500000","200000","500000","0","0","0","0","2"
"252610","8712","673","200000 - 500000","200000","500000","1192","138","199","138","269"
"913740","8588","793","200000 - 500000","200000","500000","531","49","231","49","23"
"1957780","7009","2363","200000 - 500000","200000","500000","1667","41","347","49","229"
"899440","7450","1921","1000000 - 2000000","1000000","2000000","969","0","549","0","249"
"2688950","6074","3242","200000 - 500000","200000","500000","1889","169","889","150","1213"
"375480","8798","517","1000000 - 2000000","1000000","2000000","1132","490","724","910","73"
"838380","6975","2340","500000 - 1000000","500000","1000000","622","1","59","1","63"
"1321440","8828","470","0 - 20000","0","20000","922","99","384","99","202"
"753420","8672","621","200000 - 500000","200000","500000","1899","1","885","1","123"
"429790","7584","1702","200000 - 500000","200000","500000","912","42","97","46","160"
"694280","7974","1299","500000 - 1000000","500000","1000000","1270","136","343","136","431"
"1207650","8658","608","500000 - 1000000","500000","1000000","881","6","563","6","258"
"342180","7354","1911","500000 - 1000000","500000","1000000","259","0","162","0","29"
"435400","8952","309","200000 - 500000","200000","500000","238","0","107","0","7"
"2696480","8755","505","100000 - 200000","100000","200000","144","0","33","0","48"
"920490","7795","1435","200000 - 500000","200000","500000","2912","187","169","28","826"
"900270","8752","472","500000 - 1000000","500000","1000000","437","0","224","0","17"
"435120","8845","374","500000 - 1000000","500000","1000000","165","0","131","0","80"
"897450","7069","2148","200000 - 500000","200000","500000","501","23","184","23","48"
"496240","6329","2886","500000 - 1000000","500000","1000000","536","58","241","58","30"
"1281800","8956","246","500000 - 1000000","500000","1000000","118","0","92","0","48"
"470310","8645","552","200000 - 500000","200000","500000","5523","155","891","155","86"
"677120","8061","1123","500000 - 1000000","500000","1000000","1511","0","598","0","50"
"2495450","8944","229","200000 - 500000","200000","500000","495","112","489","112","268"
"647830","7937","1221","500000 - 1000000","500000","1000000","1102","204","462","299","144"
"665360","6822","2329","500000 - 1000000","500000","1000000","448","0","104","0","17"
"675260","8401","738","500000 - 1000000","500000","1000000","680","523","620","523","50"
"1088710","7364","1767","500000 - 1000000","500000","1000000","16711","10008","1080","20014","101"
"1307890","8280","833","500000 - 1000000","500000","1000000","1827","239","1012","239","191"
"678800","7854","1258","1000000 - 2000000","1000000","2000000","1001","90","110","90","205"
"1944430","8501","593","200000 - 500000","200000","500000","333","504","248","504","61"
"1507580","8803","290","200000 - 500000","200000","500000","614","66","646","66","43"
"422970","8641","427","200000 - 500000","200000","500000","306","13","63","13","25"
"919640","7215","1850","500000 - 1000000","500000","1000000","2776","133","516","193","268"
"215280","6104","2956","1000000 - 2000000","1000000","2000000","20211","16286","374","16286","34"
"656350","8280","778","500000 - 1000000","500000","1000000","1423","254","584","254","98"
"436520","5402","3653","2000000 - 5000000","2000000","5000000","210","0","56","0","9"
"462770","8178","860","500000 - 1000000","500000","1000000","472","0","209","0","10"
"979110","7778","1231","200000 - 500000","200000","500000","1317","21","327","36","237"
"1273710","7102","1876","200000 - 500000","200000","500000","196","0","45","0","24"
"1288320","7111","1842","200000 - 500000","200000","500000","1513","76","548","110","172"
