"app_id","supported_languages"
"1426210","Portuguese - Brazil"
"1426210","Traditional Chinese"
"1426210","Korean"
"1426210","Spanish - Spain"
"1426210","Polish"
"1426210","Simplified Chinese"
"1426210","Japanese"
"1426210","Russian"
"1426210","Italian"
"427520","German"
"427520","Vietnamese"
"427520","Portuguese - Brazil"
"427520","Spanish - Spain"
"427520","Norwegian"
"427520","Russian"
"427520","Dutch"
"427520","Italian"
"427520","Turkish"
"427520","Belarusian"
"427520","English"
"427520","Catalan"
"427520","Ukrainian"
"427520","Traditional Chinese"
"427520","Kazakh"
"427520","Spanish - Latin America"
"427520","Hungarian"
"427520","Georgian"
"427520","Japanese"
"427520","Romanian"
"427520","Czech"
"427520","Finnish"
"427520","French"
"427520","Thai"
"427520","Korean"
"427520","Swedish"
"427520","Polish"
"427520","Greek"
"427520","Simplified Chinese"
"427520","Portuguese - Portugal"
"700330","German"
"700330","Vietnamese"
"700330","Portuguese - Brazil"
"700330","Spanish - Spain"
"700330","Serbian"
"700330","Russian"
"700330","Italian"
"700330","Lithuanian"
"700330","Dutch"
"700330","Turkish"
"700330","English"
"700330","Catalan"
"700330","Traditional Chinese"
"700330","Spanish - Latin America"
"700330","Hungarian"
"700330","Romanian"
"700330","Czech"
"700330","French"
"700330","Thai"
"700330","Korean"
"700330","Galician"
"700330","Polish"
"700330","Simplified Chinese"
"477160","German"
"477160","English"
"477160","French"
"477160","Portuguese - Brazil"
"477160","Thai"
"477160","Ukrainian"
"477160","Korean"
"477160","Traditional Chinese"
"477160","Spanish - Spain"
"477160","Polish"
"477160","Japanese"
"477160","Simplified Chinese"
"477160","Turkish"
"477160","Russian"
"477160","Italian"
"477160","Portuguese - Portugal"
"698780","English"
"393380","German"
"393380","English"
"393380","French"
"393380","Portuguese - Brazil"
"393380","Ukrainian"
"393380","Spanish - Spain"
"393380","Japanese"
"393380","Simplified Chinese"
"393380","Russian"
"294100","German"
"294100","Portuguese - Brazil"
"294100","Spanish - Spain"
"294100","Norwegian"
"294100","Russian"
"294100","Dutch"
"294100","Turkish"
"294100","Italian"
"294100","English"
"294100","Traditional Chinese"
"294100","Ukrainian"
"294100","Spanish - Latin America"
"294100","Danish"
"294100","Hungarian"
"294100","Japanese"
"294100","Romanian"
"294100","Czech"
"294100","Finnish"
"294100","French"
"294100","Korean"
"294100","Swedish"
"294100","Polish"
"294100","Simplified Chinese"
"294100","Portuguese - Portugal"
"379720","German"
"379720","English"
"379720","French"
"379720","Portuguese - Brazil"
"379720","Traditional Chinese"
"379720","Spanish - Spain"
"379720","Polish"
"379720","Japanese"
"379720","Russian"
"379720","Italian"
"782330","German"
"782330","English"
"782330","French"
"782330","Portuguese - Brazil"
"782330","Traditional Chinese"
"782330","Korean"
"782330","Spanish - Spain"
"782330","Polish"
"782330","Simplified Chinese"
"782330","Japanese"
"782330","Spanish - Latin America"
"782330","Russian"
"782330","Italian"
"3164500","English"
"433850","German"
"433850","English"
"433850","French"
"433850","Portuguese - Brazil"
"433850","Korean"
"433850","Spanish - Spain"
"433850","Simplified Chinese"
"433850","Russian"
"1599340","English"
"1599340","Spanish - Spain"
"534380","Czech"
"534380","German"
"534380","English"
"534380","French"
"534380","Portuguese - Brazil"
"534380","Traditional Chinese"
"534380","Korean"
"534380","Spanish - Spain"
"534380","Turkish"
"534380","Polish"
"534380","Simplified Chinese"
"534380","Japanese"
"534380","Arabic"
"534380","Spanish - Latin America"
"534380","Russian"
"534380","Italian"
"534380","Portuguese - Portugal"
"1238840","German"
"1238840","English"
"1238840","French"
"1238840","Portuguese - Brazil"
"1238840","Traditional Chinese"
"1238840","Spanish - Spain"
"1238840","Turkish"
"1238840","Polish"
"1238840","Japanese"
"1238840","Arabic"
"1238840","Spanish - Latin America"
"1238840","Russian"
"1238840","Italian"
"435150","Czech"
"435150","German"
"435150","English"
"435150","French"
"435150","Portuguese - Brazil"
"435150","Traditional Chinese"
"435150","Korean"
"435150","Spanish - Spain"
"435150","Polish"
"435150","Japanese"
"435150","Simplified Chinese"
"435150","Russian"
"435150","Italian"
"268910","German"
"268910","English"
"268910","French"
"268910","Portuguese - Brazil"
"268910","Korean"
"268910","Spanish - Spain"
"268910","Polish"
"268910","Simplified Chinese"
"268910","Japanese"
"268910","Spanish - Latin America"
"268910","Russian"
"268910","Italian"
"3241660","English"
"646570","German"
"646570","English"
"646570","French"
"646570","Portuguese - Brazil"
"646570","Ukrainian"
"646570","Traditional Chinese"
"646570","Korean"
"646570","Dutch"
"646570","Spanish - Spain"
"646570","Thai"
"646570","Vietnamese"
"646570","Polish"
"646570","Japanese"
"646570","Simplified Chinese"
"646570","Turkish"
"646570","Russian"
"646570","Italian"
"2050650","German"
"2050650","English"
"2050650","French"
"2050650","Portuguese - Brazil"
"2050650","Traditional Chinese"
"2050650","Korean"
"2050650","Spanish - Spain"
"2050650","Simplified Chinese"
"2050650","Japanese"
"2050650","Arabic"
"2050650","Spanish - Latin America"
"2050650","Russian"
"2050650","Italian"
"518790","Czech"
"518790","German"
"518790","English"
"518790","French"
"518790","Portuguese - Brazil"
"518790","Spanish - Spain"
"518790","Polish"
"518790","Japanese"
"518790","Simplified Chinese"
"518790","Russian"
"1240440","German"
"1240440","English"
"1240440","French"
"1240440","Portuguese - Brazil"
"1240440","Traditional Chinese"
"1240440","Finnish"
"1240440","Korean"
"1240440","Dutch"
"1240440","Spanish - Spain"
"1240440","Danish"
"1240440","Norwegian"
"1240440","Polish"
"1240440","Simplified Chinese"
"1240440","Japanese"
"1240440","Spanish - Latin America"
"1240440","Russian"
"1240440","Italian"
"1240440","Portuguese - Portugal"
"270880","German"
"270880","Portuguese - Brazil"
"270880","Spanish - Spain"
"270880","Norwegian"
"270880","Slovak"
"270880","Serbian"
"270880","Russian"
"270880","Dutch"
"270880","Italian"
"270880","Turkish"
"270880","Lithuanian"
"270880","English"
"270880","Catalan"
"270880","Ukrainian"
"270880","Traditional Chinese"
"270880","Slovenian"
"270880","Danish"
"270880","Hungarian"
"270880","Japanese"
"270880","Romanian"
"270880","Czech"
"270880","Finnish"
"270880","French"
"270880","Korean"
"270880","Swedish"
"270880","Bulgarian"
"270880","Polish"
"270880","Greek"
"270880","Simplified Chinese"
"270880","Portuguese - Portugal"
"12210","German"
"12210","English"
"12210","French"
"12210","Spanish - Spain"
"12210","Italian"
"552520","Czech"
"552520","German"
"552520","English"
"552520","French"
"552520","Portuguese - Brazil"
"552520","Traditional Chinese"
"552520","Korean"
"552520","Dutch"
"552520","Spanish - Spain"
"552520","Polish"
"552520","Simplified Chinese"
"552520","Japanese"
