"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"381640","2.53","57","620","15728.0","86.68435","8","557","6","0","47","2"
"1511460","3.29","7","167","677260.0","69.795715","9","148","2","5","2","1"
"922320","2.46","13","174","60524.0","39.955368","1","157","3","2","10","1"
"329970","3.82","11","95","12215.0","60.388447","4","83","0","5","3","0"
"684680","2.11","88","1319","45433.0","66.47644","68","1220","14","1","16","0"
"621000","3.9","58","848","20836.0","20.591251","48","725","59","11","3","2"
"857450","0.0","3","40","61286.0","41.30689","4","30","1","5","0","0"
"790060","4.33","11","105","52042.0","91.10828","3","97","1","3","0","1"
"2055050","0.0","2","6","968212.0","61.160378","0","4","0","0","2","0"
"444930","2.4","10","455","6708.0","78.34982","6","441","0","5","2","1"
"2095340","3.26","26","94","930980.0","107.230736","16","15","21","33","7","2"
"587260","3.27","42","601","50198.0","56.432228","53","486","18","17","15","12"
"1569090","0.0","2","27","608661.0","57.640038","1","22","1","3","0","0"
"420930","3.22","9","168","9445.0","61.537582","5","158","0","2","3","0"
"359100","3.59","169","1656","51167.0","76.39443","223","1212","118","47","46","10"
"1187510","0.0","3","23","207148.0","50.313503","1","17","1","1","2","1"
"2205850","0.0","0","7","965057.0","91.10872","1","2","0","3","1","0"
"431180","3.6","10","54","11736.0","29.614826","2","38","5","3","5","1"
"1004270","0.0","0","0","128813.0","59.748165","0","0","0","0","0","0"
"2106670","0.0","0","1","146008.0","65.14126","0","0","0","1","0","0"
"371520","2.97","30","442","10897.0","70.71548","19","399","11","1","12","0"
"1028570","3.56","15","166","272060.0","97.44117","2","146","11","1","4","2"
"441830","3.28","44","308","2178.0","66.98743","32","177","25","42","24","8"
"1142130","0.0","1","170","367145.0","79.05822","0","170","0","0","0","0"
"996380","0.0","2","13","275669.0","62.879875","0","11","0","0","2","0"
"1140150","3.29","142","2176","40936.0","30.210499","91","1970","45","8","58","4"
"1980530","0.0","0","3","854348.0","107.45586","0","1","0","2","0","0"
"793350","3.89","19","192","61232.0","68.84531","10","164","7","2","7","2"
"817840","3.5","6","77","427477.0","90.0206","3","61","4","2","6","1"
"577670","0.0","0","0","987478.0","51.03667","0","0","0","0","0","0"
"534370","2.86","7","161","44251.0","79.32713","5","146","1","4","5","0"
"802880","3.83","18","220","10173.0","102.76342","18","171","16","11","0","4"
"588950","3.74","29","382","9851.0","68.84531","35","302","11","10","18","6"
"2479830","0.0","1","38","981356.0","47.37554","1","37","0","0","0","0"
"1310330","3.25","11","89","452644.0","83.56759","14","18","8","42","2","5"
"520940","3.29","7","91","46624.0","103.95419","0","76","2","5","8","0"
"754530","3.33","9","110","50931.0","136.16861","6","96","1","1","5","1"
"1127460","0.0","3","29","428837.0","55.06011","0","25","0","2","2","0"
"1167140","3.4","9","44","494486.0","98.53511","10","11","6","10","5","2"
"733990","0.0","5","92","49258.0","103.60116","1","82","2","3","3","1"
"1981610","1.96","25","154","795371.0","74.47283","21","59","14","40","15","5"
"843200","0.0","2","28","428135.0","68.2299","1","18","1","7","0","1"
"1478160","0.0","0","11","831874.0","68.243286","0","8","0","3","0","0"
"1073910","3.33","52","1055","349367.0","82.11743","50","923","13","30","30","9"
"1017100","0.0","3","110","292939.0","74.19803","0","104","1","1","3","1"
"3170540","0.0","0","8","990373.0","71.23571","1","5","0","1","1","0"
"1284820","0.0","3","44","427664.0","63.973907","1","41","1","0","1","0"
"2272250","4.0","10","108","957512.0","82.07312","15","54","8","26","5","0"
"417910","1.95","19","377","12034.0","75.929184","15","355","1","0","6","0"
"2892880","0.0","0","2","964350.0","83.5873","1","0","0","1","0","0"
"622720","3.1","20","173","248486.0","76.820816","11","127","5","13","15","2"
"1231990","0.0","2","64","428675.0","44.616966","7","22","2","32","1","0"
"1069530","3.33","76","1830","286474.0","74.93495","98","1575","33","67","52","5"
"354290","0.0","3","311","11346.0","69.61483","3","306","0","0","2","0"
"1083210","0.0","3","51","321292.0","101.09064","3","45","3","0","0","0"
"399120","2.45","21","144","15924.0","65.363464","10","114","15","3","2","0"
"1850160","0.0","1","22","961596.0","62.394566","1","18","0","3","0","0"
"1063770","0.0","1","2","308123.0","75.954285","0","1","1","0","0","0"
"363360","0.0","2","87","10721.0","75.10057","1","79","0","2","5","0"
"748940","0.0","2","5","60535.0","57.90128","0","2","1","0","1","1"
"936720","0.0","2","63","236850.0","62.56875","1","59","0","0","3","0"
