"app_id","total_reactions","reaction_1","reaction_2","reaction_3","reaction_4","reaction_5","reaction_6","reaction_7","reaction_8","reaction_9","reaction_10","reaction_11","reaction_12","reaction_13","reaction_15","reaction_16","reaction_17","reaction_19","reaction_20","reaction_21"
"504230","66","12","3","9","0","0","19","2","0","1","4","5","11","0","0","0","0","0","0","0"
"1142710","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1604030","4","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"774171","5","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"1196590","23","9","0","3","2","0","2","0","0","0","3","0","0","0","1","1","0","1","1","0"
"1832640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"582160","66","11","3","17","2","2","3","7","1","5","3","2","4","1","1","3","0","0","1","0"
"1643320","4","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"387990","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1361210","10","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0"
"1446780","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1817070","44","7","2","5","2","2","2","7","2","3","6","3","2","0","1","0","0","0","0","0"
"629760","12","1","1","2","1","0","1","1","2","0","0","1","1","1","0","0","0","0","0","0"
"513710","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"677620","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"632470","48","11","2","3","2","3","1","5","2","4","7","3","5","0","0","0","0","0","0","0"
"2527500","13","3","1","1","0","1","0","2","0","2","2","1","0","0","0","0","0","0","0","0"
"1903340","38","8","2","4","2","2","1","1","1","3","5","2","7","0","0","0","0","0","0","0"
"424840","42","6","2","4","3","3","2","0","1","5","8","2","1","1","1","1","2","0","0","0"
"2195250","3","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"1167630","11","4","1","2","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1"
"440900","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"356190","10","2","0","1","1","0","0","2","0","1","0","1","0","0","0","1","0","1","0","0"
"2054970","6","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"976310","11","2","1","2","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","0"
"779340","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1313140","5","1","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0"
"1687950","30","4","4","7","2","0","0","4","0","0","3","1","5","0","0","0","0","0","0","0"
"1259420","42","2","2","4","0","2","0","2","0","9","1","1","2","2","5","7","0","2","1","0"
"1943950","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"1771300","9","2","1","2","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0"
"268500","13","3","1","2","1","1","2","0","1","1","0","0","0","1","0","0","0","0","0","0"
"219990","6","1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0"
"1217060","3","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1721470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233860","7","2","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"418370","36","8","3","5","3","0","2","1","0","0","4","3","2","0","2","3","0","0","0","0"
"1942280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"546560","10","4","0","1","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0"
"848450","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"460930","11","0","1","1","0","1","2","0","3","2","1","0","0","0","0","0","0","0","0","0"
"2835570","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"613100","4","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"646910","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"365590","17","0","0","3","0","0","1","2","4","0","1","0","0","0","2","2","1","0","0","1"
"466240","3","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0"
"389730","3","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1665460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1030840","17","2","0","0","2","0","2","4","0","0","2","1","2","1","0","0","0","0","0","1"
"516750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"952060","17","2","0","3","2","0","3","2","0","2","1","2","0","0","0","0","0","0","0","0"
"1046930","11","1","1","2","1","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"383870","48","8","0","4","0","1","1","17","0","5","6","1","3","0","1","0","0","0","0","1"
