"app_id","platform_names"
"617290","PlayStation"
"617290","Xbox"
"617290","Nintendo"
"2593370","PC"
"529340","PC"
"529340","Apple Macintosh"
"529340","Linux"
"2623190","PC"
"2623190","PlayStation"
"2623190","Xbox"
"1627720","PC"
"1627720","Apple Macintosh"
"1627720","PlayStation"
"1627720","Xbox"
"364360","PC"
"364360","Apple Macintosh"
"364360","Linux"
"1290000","PC"
"1290000","PlayStation"
"1290000","Xbox"
"253230","Apple Macintosh"
"253230","Nintendo"
"253230","PC"
"253230","PlayStation"
"253230","Xbox"
"621060","PC"
"621060","PlayStation"
"621060","Xbox"
"621060","Nintendo"
"645630","Nintendo"
"645630","Android"
"645630","PC"
"645630","PlayStation"
"645630","iOS"
"645630","Xbox"
"470220","PC"
"470220","PlayStation"
"470220","Xbox"
"470220","Nintendo"
"774361","Apple Macintosh"
"774361","Linux"
"774361","Nintendo"
"774361","PC"
"774361","PlayStation"
"774361","Xbox"
"1693980","PC"
"1693980","PlayStation"
"1693980","Xbox"
"480490","PC"
"480490","PlayStation"
"480490","Xbox"
"1089980","PC"
"1089980","iOS"
"1371980","PC"
"1371980","PlayStation"
"1371980","Xbox"
"870780","PC"
"870780","Apple Macintosh"
"870780","PlayStation"
"870780","Xbox"
"2344520","PC"
"2344520","PlayStation"
"2344520","Xbox"
"552100","PC"
"346010","PC"
"346010","Apple Macintosh"
"346010","Linux"
"1846380","PC"
"1846380","PlayStation"
"1846380","Xbox"
"644930","PC"
"644930","PlayStation"
"644930","Xbox"
"3097560","PC"
"933110","PC"
"386940","Apple Macintosh"
"386940","Linux"
"386940","Nintendo"
"386940","Android"
"386940","PC"
"386940","PlayStation"
"386940","Xbox"
"502500","PC"
"502500","PlayStation"
"502500","Xbox"
"881020","PC"
"881020","PlayStation"
"994280","PC"
"1017180","PC"
"1017180","Apple Macintosh"
"1017180","Linux"
"1451940","PC"
"1451940","Nintendo"
"1149460","PC"
"1824220","PC"
"1824220","PlayStation"
"1824220","Xbox"
"367500","PC"
"367500","PlayStation"
"367500","Xbox"
"367500","Nintendo"
"972660","Apple Macintosh"
"972660","Linux"
"972660","Nintendo"
"972660","PC"
"972660","PlayStation"
"972660","Xbox"
"603850","PC"
"603850","Apple Macintosh"
"603850","Android"
"313120","Apple Macintosh"
"313120","Linux"
"313120","Nintendo"
"313120","PC"
"313120","PlayStation"
"313120","Xbox"
"1659040","Apple Macintosh"
"1659040","Linux"
"1659040","PC"
"1659040","PlayStation"
"1659040","Xbox"
"1325200","PC"
"1325200","PlayStation"
"2322560","PC"
"1129580","PC"
"501300","Nintendo"
"501300","PC"
"501300","PlayStation"
"501300","iOS"
"501300","Xbox"
"920210","PC"
"920210","PlayStation"
"920210","Xbox"
"920210","Nintendo"
"1987080","PC"
"690790","PC"
"690790","PlayStation"
"690790","Xbox"
"612880","PC"
"612880","PlayStation"
"612880","Xbox"
"612880","Nintendo"
"505460","PC"
"1206560","Apple Macintosh"
"1206560","Linux"
"1206560","Android"
"1206560","PC"
"1206560","iOS"
"1562430","PC"
"1562430","PlayStation"
"1562430","Xbox"
"1562430","Nintendo"
"568220","PC"
"1465360","PC"
"1465360","PlayStation"
"1465360","Xbox"
"1465360","Nintendo"
"1817190","PC"
"1817190","PlayStation"
"310950","PC"
"310950","PlayStation"
"599140","Apple Macintosh"
"599140","Linux"
"599140","Nintendo"
"599140","Android"
"599140","PC"
"599140","PlayStation"
"599140","iOS"
"599140","Xbox"
"601510","PC"
"601510","iOS"
"601510","Android"
"476600","PC"
"476600","PlayStation"
"476600","Xbox"
"666140","Nintendo"
"666140","PC"
"666140","PlayStation"
"666140","iOS"
"666140","Xbox"
"2124490","PC"
"2124490","PlayStation"
"2124490","Xbox"
"860510","PC"
"860510","PlayStation"
"860510","Xbox"
"860510","Nintendo"
"2161700","PC"
"2161700","PlayStation"
"2161700","Xbox"
"834910","PC"
"843380","Apple Macintosh"
"843380","Nintendo"
"843380","PC"
"843380","PlayStation"
"843380","Xbox"
"312520","PC"
"312520","PlayStation"
"312520","Nintendo"
"1295660","Apple Macintosh"
"1295660","Linux"
"1295660","Nintendo"
"1295660","PC"
"1295660","PlayStation"
"1295660","Xbox"
"1501750","PC"
"1501750","PlayStation"
"1501750","Xbox"
"1419170","PC"
"1419170","iOS"
"1419170","PlayStation"
"1419170","Android"
"967050","PC"
"967050","Apple Macintosh"
"1288310","PC"
"1288310","iOS"
"527230","Apple Macintosh"
"527230","Nintendo"
"527230","PC"
"527230","PlayStation"
"527230","Xbox"
"1669980","PC"
"751780","Nintendo"
"751780","PC"
"751780","PlayStation"
"751780","iOS"
"751780","Xbox"
"337000","Apple Macintosh"
"337000","Linux"
"337000","PC"
"337000","PlayStation"
"337000","Xbox"
"704270","PC"
"704270","PlayStation"
"704270","Xbox"
"1845910","PC"
"1845910","PlayStation"
"1845910","Xbox"
"555160","PC"
"555160","PlayStation"
"1369630","PC"
"1369630","PlayStation"
"1369630","Xbox"
"1369630","Nintendo"
"1850570","PC"
"1850570","iOS"
"1850570","PlayStation"
"1850570","Apple Macintosh"
"3070070","PC"
"692850","Nintendo"
"692850","Android"
"692850","PC"
"692850","PlayStation"
"692850","iOS"
"692850","Xbox"
"1544020","PC"
"1544020","PlayStation"
"1544020","Xbox"
"1088850","PC"
"1088850","PlayStation"
"1088850","Xbox"
"1088850","Nintendo"
