"app_id","full_audio_languages"
"677620","Traditional Chinese"
"677620","English"
"632470","Arabic"
"632470","English"
"2527500","English"
"2527500","German"
"2527500","French"
"2527500","Portuguese - Brazil"
"2527500","Spanish - Spain"
"2527500","Slovak"
"2527500","Japanese"
"2527500","Simplified Chinese"
"2527500","Spanish - Latin America"
"2527500","Russian"
"2527500","Turkish"
"2527500","Portuguese - Portugal"
"1903340","Vietnamese"
"1903340","English"
"1903340","French"
"2195250","German"
"2195250","English"
"2195250","French"
"2195250","Portuguese - Brazil"
"2195250","Dutch"
"2195250","Spanish - Spain"
"2195250","Turkish"
"2195250","Polish"
"2195250","Simplified Chinese"
"2195250","Japanese"
"2195250","Arabic"
"2195250","Spanish - Latin America"
"2195250","Russian"
"2195250","Italian"
"440900","English"
"440900","Italian"
"356190","German"
"356190","English"
"356190","French"
"356190","Portuguese - Brazil"
"356190","Traditional Chinese"
"356190","Spanish - Spain"
"356190","Japanese"
"356190","Italian"
"2054970","Japanese"
"2054970","English"
"2054970","Polish"
"976310","German"
"976310","English"
"976310","French"
"976310","Portuguese - Brazil"
"976310","Traditional Chinese"
"976310","Spanish - Latin America"
"976310","Italian"
"779340","German"
"779340","English"
"779340","French"
"779340","Korean"
"779340","Simplified Chinese"
"779340","Russian"
"779340","Turkish"
"1687950","Traditional Chinese"
"1687950","Japanese"
"1687950","English"
"1259420","German"
"1259420","English"
"1259420","French"
"1259420","Portuguese - Brazil"
"1259420","Spanish - Spain"
"1259420","Polish"
"1259420","Japanese"
"1259420","Spanish - Latin America"
"1259420","Russian"
"1259420","Italian"
"1259420","Portuguese - Portugal"
"1943950","English"
"1943950","Turkish"
"1771300","Czech"
"1771300","German"
"1771300","English"
"1771300","French"
"1771300","Ukrainian"
"1771300","Spanish - Spain"
"1771300","Japanese"
"268500","German"
"268500","English"
"268500","French"
"268500","Traditional Chinese"
"268500","Spanish - Spain"
"268500","Italian"
"219990","Polish"
"219990","English"
"1721470","English"
"1721470","Portuguese - Brazil"
"1721470","Korean"
"1721470","Japanese"
"1721470","Spanish - Latin America"
"233860","German"
"233860","English"
"233860","French"
"233860","Portuguese - Brazil"
"233860","Korean"
"233860","Spanish - Spain"
"233860","Simplified Chinese"
"233860","Japanese"
"233860","Russian"
"418370","German"
"418370","English"
"418370","French"
"418370","Spanish - Spain"
"418370","Japanese"
"418370","Spanish - Latin America"
"418370","Italian"
"546560","Swedish"
"546560","English"
"848450","English"
"848450","Slovak"
"460930","German"
"460930","English"
"460930","French"
"460930","Portuguese - Brazil"
"460930","Spanish - Spain"
"460930","Japanese"
"460930","Spanish - Latin America"
"460930","Russian"
"460930","Italian"
"646910","German"
"646910","English"
"646910","French"
"646910","Portuguese - Brazil"
"646910","Traditional Chinese"
"646910","Spanish - Spain"
"646910","Japanese"
"646910","Russian"
"646910","Italian"
"365590","German"
"365590","English"
"365590","French"
"365590","Portuguese - Brazil"
"365590","Spanish - Spain"
"365590","Japanese"
"365590","Russian"
"365590","Italian"
"466240","English"
"466240","Romanian"
"389730","Traditional Chinese"
"389730","English"
"1665460","German"
"1665460","English"
"1665460","French"
"1665460","Portuguese - Brazil"
"1665460","Traditional Chinese"
"1665460","Thai"
"1665460","Korean"
"1665460","Spanish - Spain"
"1665460","Turkish"
"1665460","Simplified Chinese"
"1665460","Japanese"
"1665460","Arabic"
"1665460","Spanish - Latin America"
"1665460","Italian"
"1665460","Portuguese - Portugal"
"1030840","Czech"
"1030840","German"
"1030840","English"
